Lake,Gape-limited,Plate,Specimen,Instar,Dorsal Spine Length (mm)
Harp,N,1,1,2,4.439
Harp,N,1,2,2,4.995
Harp,N,1,3,3,4.904
Harp,N,2,1,1,4.697
Harp,N,2,2,1,4.954
Harp,N,2,3,3,4.796
Harp,N,3,1,1,4.55
Harp,N,3,2,2,5.809
Harp,N,3,3,3,4.443
Harp,N,4,1,3,3.824
Harp,N,4,2,3,4.593
Harp,N,4,3,3,4.756
Harp,N,5,1,3,4.701
Harp,N,5,2,3,4.774
Harp,N,5,3,3,4.72
Harp,N,6,1,3,4.856
Harp,N,6,2,3,4.671
Harp,N,6,3,3,4.72
