Lake,Gape-limited,Plate,Specimen,Instar,Dorsal Spine Length (mm)
Pennisula,Y,1,1,1,5.776
Pennisula,Y,1,2,2,5.874
Pennisula,Y,1,3,3,6.103
Pennisula,Y,2,1,1,5.912
Pennisula,Y,2,2,2,5.99
Pennisula,Y,2,3,3,5.203
Pennisula,Y,3,1,1,5.462
Pennisula,Y,3,2,2,6.024
Pennisula,Y,3,3,3,4.69
Pennisula,Y,4,1,1,5.937
Pennisula,Y,4,2,2,6.066
Pennisula,Y,4,3,3,5.308
Pennisula,Y,5,1,1,5.972
Pennisula,Y,5,2,2,6.101
Pennisula,Y,5,3,3,5.593
Pennisula,Y,6,1,1,5.807
Pennisula,Y,6,2,2,6.122
Pennisula,Y,6,3,3,4.909
